corpus_id,tier,title,year,venue,ordered_author_list,total_author_count,first_author,m_omair_ahmad_present,mns_swamy_present,alireza_esmaeilzehi_present,non_supervisor_author_count,corresponding_author_explicit,senior_final_author_position,credit_author_contribution_statement,writing_original_draft_credit,review_editing_credit,group_a_flag,group_b_alireza_flag,primary_group,style_weight,authorship_role_confidence,uncertainty_notes
T1_2026_TPAMI_ACLI,Tier 1,ACLI: A CNN Pruning Framework Leveraging Adjacent Convolutional Layer Interdependence and gamma-Weakly Submodularity,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,Sadegh Tofigh; Mohammad Askarizadeh; M. Omair Ahmad; M. N. S. Swamy; Kim Khoa Nguyen,5,Sadegh Tofigh,yes,yes,no,3,Sadegh Tofigh is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 3/5; M. N. S. Swamy at position 4/5; final author: Kim Khoa Nguyen,not reported,not reported,not reported,no,no,C,0.45,high,Model pruning is domain-distant from restoration-guided tracking.
T1_2023_TAI_THREE_PRIOR_SR,Tier 1,Ultralight-Weight Three-Prior Convolutional Neural Network for Single Image Super Resolution,2023,IEEE Transactions on Artificial Intelligence,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,3,Alireza Esmaeilzehi,yes,yes,yes,1,Alireza Esmaeilzehi is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,yes,A,1.00,high,Useful for restoration/degradation motivation but not direct tracking method citation. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2021_TCI_SRNSSI,Tier 1,SRNSSI: A Deep Light-Weight Network for Single Image Super Resolution Using Spatial and Spectral Information,2021,IEEE Transactions on Computational Imaging,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,3,Alireza Esmaeilzehi,yes,yes,yes,1,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,yes,A,1.00,high,Super-resolution is adjacent but not tracking. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2021_TBC_UPDRESNN,Tier 1,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,2021,IEEE Transactions on Broadcasting,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,3,Alireza Esmaeilzehi,yes,yes,yes,1,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,yes,A,1.00,high,Image upsampling/deblurring is adjacent to degradation but not tracking. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2019_TIP_TCHEBICHEF_DENOISING,Tier 1,Tchebichef and Adaptive Steerable-Based Total Variation Model for Image Denoising,2019,IEEE Transactions on Image Processing,Ahlad Kumar; M. Omair Ahmad; M. N. S. Swamy,3,Ahlad Kumar,yes,yes,no,1,Ahlad Kumar is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Classical denoising/restoration paper; relevant as restoration background but not tracking. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T2_AS2024_PATHOWAVE,Tier 2,PathoWAve: A Deep Learning-based Weight Averaging Method for Improving Domain Generalization in Histopathology Images,2024,arXiv preprint,Parastoo Sotoudeh Sharifi; M. Omair Ahmad; M. N. S. Swamy,3,Parastoo Sotoudeh Sharifi,yes,yes,no,1,not explicitly stated,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Venue is arXiv preprint rather than journal. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T2_AH2020_R_SPATIOGRAM_TRACKING,Tier 2,Applying R-spatiogram in Object Tracking for Occlusion Handling,2020,Signal & Image Processing: An International Journal,Niloufar Salehi Dastjerdi; M. Omair Ahmad,2,Niloufar Salehi Dastjerdi,yes,no,no,1,not explicitly stated,M. Omair Ahmad at position 2/2; final author: M. Omair Ahmad,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Comparable peer-reviewed journal but not IEEE Transactions.
T2_AS2018_VARIATIONAL_MIXED_NOISE,Tier 2,A Variational Step for Reduction of Mixed Gaussian-Impulse Noise from Images,2018,arXiv preprint / ICECE paper,Mohammad Tariqul Islam; Dipayan Saha; S. M. Mahbubur Rahman; M. Omair Ahmad; M. N. S. Swamy,5,Mohammad Tariqul Islam,yes,yes,no,3,not explicitly stated,M. Omair Ahmad at position 4/5; M. N. S. Swamy at position 5/5; final author: M. N. S. Swamy,not reported,not reported,not reported,no,no,C,0.45,high,Conference preprint; Related Work is integrated into Introduction.
T2_AS2015_MSAINDELFR,Tier 2,MSAIndelFR: a scheme for multiple protein sequence alignment using information on indel flanking regions,2015,BMC Bioinformatics,Mufleh Al-Shatnawi; M. Omair Ahmad; M. N. S. Swamy,3,Mufleh Al-Shatnawi,yes,yes,no,1,Ahmad is corresponding author and Swamy is final senior author,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Expanded date range because many recent IEEE full texts were not lawfully downloadable in the previous pass. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T2_AS2014_EURASIP_ECHO,Tier 2,Single-channel acoustic echo cancellation in noise based on gradient-based adaptive filtering,2014,EURASIP Journal on Audio Speech and Music Processing,Upal Mahbub; Shaikh Anowarul Fattah; Wei-Ping Zhu; M. Omair Ahmad,4,Upal Mahbub,yes,no,no,3,not explicitly stated,M. Omair Ahmad at position 4/4; final author: M. Omair Ahmad,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Older than preferred range; included as secondary evidence.
T2_AS2010_EURASIP_CEPSTRUM,Tier 2,A Ramp Cosine Cepstrum Model for the Parameter Estimation of Autoregressive Systems at Low SNR,2010,EURASIP Journal on Advances in Signal Processing,Shaikh Anowarul Fattah; Wei-Ping Zhu; M. Omair Ahmad,3,Shaikh Anowarul Fattah,yes,no,no,2,not explicitly stated,M. Omair Ahmad at position 3/3; final author: M. Omair Ahmad,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Older than preferred range; included as secondary evidence.
T2_SW2019_HEARING_AIDS,Tier 2,Sound Quality Improvement for Hearing Aids in Presence of Multiple Inputs,2019,Circuits Systems and Signal Processing,Asutosh Kar; Ankita Anand; Jan Ostergaard; Soren Holdt Jensen; M. N. S. Swamy,5,Asutosh Kar,no,yes,no,4,not explicitly stated,M. N. S. Swamy at position 5/5; final author: M. N. S. Swamy,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Affiliation is less visible on first page than other PDFs; identity supported by DOI metadata and repository citation.
T2_SW2015_COSINE_TCHEBICHEF,Tier 2,A Comparison of Integer Cosine and Tchebichef Transforms for Image Compression Using Variable Quantization,2015,Journal of Signal and Information Processing,Soni Prattipati; M. N. S. Swamy; Pramod K. Meher,3,Soni Prattipati,no,yes,no,2,not explicitly stated,M. N. S. Swamy at position 2/3; final author: Pramod K. Meher,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Open journal but not IEEE.
T2_SW2013_FRONTIERS_SYNAPTIC,Tier 2,Inferring trial-to-trial excitatory and inhibitory synaptic inputs from membrane potential using Gaussian mixture Kalman filtering,2013,Frontiers in Computational Neuroscience,M. Lankarany; W.-P. Zhu; M. N. S. Swamy; Taro Toyoizumi,4,M. Lankarany,no,yes,no,3,not explicitly stated,M. N. S. Swamy at position 3/4; final author: Taro Toyoizumi,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Older than preferred range and biomedical-neuroscience context; use cautiously.
