corpus_id,tier,title,authors,target_supervisor,year,journal,volume,issue,pages,DOI,verified_affiliation,corresponding_or_senior_author_status,source_type,source_url_or_repository,full_text_available,local_pdf_path,local_pdf_filename,sha256,pdf_page_count,introduction_available,related_work_available,integrated_prior_work_available,abstract_file,introduction_file,related_work_file,integrated_prior_work_file,method_overview_file,contributions_file,discussion_limitations_file,conclusion_file,technical_categories,stylistic_usefulness,technical_relevance_to_paper2,inclusion_reason,identity_confidence,notes,duplicate_of,duplicate_uploads,included_in_analysis
T1_2026_TPAMI_ACLI,Tier 1,ACLI: A CNN Pruning Framework Leveraging Adjacent Convolutional Layer Interdependence and gamma-Weakly Submodularity,Sadegh Tofigh; Mohammad Askarizadeh; M. Omair Ahmad; M. N. S. Swamy; Kim Khoa Nguyen,both,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,48,1,932-945,10.1109/TPAMI.2025.3610113,First page lists Ahmad and Swamy with Concordia ECE affiliation and emails.,Sadegh Tofigh is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/11-ACLI_A_CNN_Pruning_Framework_Leveraging_Adjacent_Convolutional_Layer_Interdependence_and_gamma-Weakly_Submodularity.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2026_TPAMI_ACLI.pdf,T1_2026_TPAMI_ACLI.pdf,8f7dbc82865a5e510361f864f2e36d84c7c00576de94acd03ec285d8e13e203d,14,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TPAMI_ACLI__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TPAMI_ACLI__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TPAMI_ACLI__related_work.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TPAMI_ACLI__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TPAMI_ACLI__conclusion.txt,model pruning/compression; representation learning,Introduction-style evidence; Related Work-style evidence; contribution-list evidence; methodological-explanation evidence,"style-only, not suitable for citation in Paper_2",Top-tier recent TPAMI paper with strong theoretical-method framing and contribution list.,high,Model pruning is domain-distant from restoration-guided tracking.,,,true
T1_2023_TAI_THREE_PRIOR_SR,Tier 1,Ultralight-Weight Three-Prior Convolutional Neural Network for Single Image Super Resolution,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,both,2023,IEEE Transactions on Artificial Intelligence,4,6,1724-1738,10.1109/TAI.2022.3224417,First page lists all authors with Concordia ECE affiliation and emails.,Alireza Esmaeilzehi is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/15-Ultralight-Weight_Three-Prior_Convolutional_Neural_Network_for_Single_Image_Super_Resolution.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2023_TAI_THREE_PRIOR_SR.pdf,T1_2023_TAI_THREE_PRIOR_SR.pdf,f46c4b9935a70d4c8f1713a05eb52c7c50ffa422b006b9ca07e2993bfd7e398a,15,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__method_overview.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_TAI_THREE_PRIOR_SR__conclusion.txt,super-resolution; image restoration; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,technical citation candidate for Paper_2,Recent IEEE journal super-resolution paper with detailed prior-work contrast.,high,Useful for restoration/degradation motivation but not direct tracking method citation.,,,true
T1_2021_TCI_SRNSSI,Tier 1,SRNSSI: A Deep Light-Weight Network for Single Image Super Resolution Using Spatial and Spectral Information,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,both,2021,IEEE Transactions on Computational Imaging,7,not reported,409-421,10.1109/TCI.2021.3070522,First page lists all authors with Concordia ECE affiliation and emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/16-SRNSSI_A_Deep_Light-Weight_Network_for_Single_Image_Super_Resolution_Using_Spatial_and_Spectral_Information.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2021_TCI_SRNSSI.pdf,T1_2021_TCI_SRNSSI.pdf,49adfdd01a707cf893ea03395ef3ef6d12fa3b7231732b46ccbf7c2a80082478,13,true,true,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__related_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TCI_SRNSSI__conclusion.txt,super-resolution; image restoration; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,technical citation candidate for Paper_2,IEEE computational imaging paper with clear light-weight restoration network positioning.,high,Super-resolution is adjacent but not tracking.,,,true
T1_2021_TBC_UPDRESNN,Tier 1,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,both,2021,IEEE Transactions on Broadcasting,67,2,538-548,10.1109/TBC.2021.3068862,First page lists all authors with Concordia ECE affiliation and emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/17-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2021_TBC_UPDRESNN.pdf,T1_2021_TBC_UPDRESNN.pdf,cd2a9d3ac4cfb6d3836b96f314c6e8584cf2d21f6b14dc7cee727172fe671aff,11,true,true,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__related_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__method_overview.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2021_TBC_UPDRESNN__conclusion.txt,image restoration; super-resolution,Introduction-style evidence; Related Work-style evidence; contribution-list evidence; methodological-explanation evidence,technical citation candidate for Paper_2,IEEE Transactions restoration paper with explicit contribution list and Related Work.,high,Image upsampling/deblurring is adjacent to degradation but not tracking.,,18-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,true
T1_2019_TIP_TCHEBICHEF_DENOISING,Tier 1,Tchebichef and Adaptive Steerable-Based Total Variation Model for Image Denoising,Ahlad Kumar; M. Omair Ahmad; M. N. S. Swamy,both,2019,IEEE Transactions on Image Processing,28,6,2921-2935,10.1109/TIP.2019.2892663,First page lists all authors with Concordia ECE affiliation and emails.,Ahlad Kumar is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/19-Tchebichef_and_Adaptive_Steerable-Based_Total_Variation_Model_for_Image_Denoising.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2019_TIP_TCHEBICHEF_DENOISING.pdf,T1_2019_TIP_TCHEBICHEF_DENOISING.pdf,329dbac4cbc544b939588c62f250388333ddc16feb0b8ebb09eae8a9bd39c6f1,15,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2019_TIP_TCHEBICHEF_DENOISING__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2019_TIP_TCHEBICHEF_DENOISING__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2019_TIP_TCHEBICHEF_DENOISING__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2019_TIP_TCHEBICHEF_DENOISING__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2019_TIP_TCHEBICHEF_DENOISING__conclusion.txt,image denoising; image restoration,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,technical citation candidate for Paper_2,IEEE TIP denoising paper with strong restoration problem formulation.,high,Classical denoising/restoration paper; relevant as restoration background but not tracking.,,,true
T2_AS2024_PATHOWAVE,Tier 2,PathoWAve: A Deep Learning-based Weight Averaging Method for Improving Domain Generalization in Histopathology Images,Parastoo Sotoudeh Sharifi; M. Omair Ahmad; M. N. S. Swamy,both,2024,arXiv preprint,not reported,not reported,not reported,10.48550/arXiv.2406.15685,"PDF lists Department of Electrical and Computer Engineering, Concordia University, Montreal; emails include omair and swamy.",Ahmad and Swamy are final/senior authors,arXiv author-posted preprint,https://arxiv.org/pdf/2406.15685,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AS2024_PATHOWAVE.pdf,T2_AS2024_PATHOWAVE.pdf,e896ac5e2f89a982a128008068b74f3a8d713647ca59a6af7874fa364d96ead5,5,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2024_PATHOWAVE__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2024_PATHOWAVE__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2024_PATHOWAVE__integrated_prior_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2024_PATHOWAVE__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2024_PATHOWAVE__conclusion.txt,other,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Venue is arXiv preprint rather than journal.,,,true
T2_AH2020_R_SPATIOGRAM_TRACKING,Tier 2,Applying R-spatiogram in Object Tracking for Occlusion Handling,Niloufar Salehi Dastjerdi; M. Omair Ahmad,M. O. Ahmad,2020,Signal & Image Processing: An International Journal,11,1,1-13,10.5121/sipij.2020.11101,"PDF lists Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, Canada.",Ahmad is last/senior author,publisher-open PDF,https://aircconline.com/sipij/V11N1/11120sipij01.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AH2020_R_SPATIOGRAM_TRACKING.pdf,T2_AH2020_R_SPATIOGRAM_TRACKING.pdf,fce0ee70113c05cdd06a0e9b43d24774455916153192a1ea0e2423bced2a1a0c,9,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AH2020_R_SPATIOGRAM_TRACKING__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AH2020_R_SPATIOGRAM_TRACKING__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AH2020_R_SPATIOGRAM_TRACKING__integrated_prior_work.txt,,,,,visual tracking,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Comparable peer-reviewed journal but not IEEE Transactions.,,,true
T2_AS2018_VARIATIONAL_MIXED_NOISE,Tier 2,A Variational Step for Reduction of Mixed Gaussian-Impulse Noise from Images,Mohammad Tariqul Islam; Dipayan Saha; S. M. Mahbubur Rahman; M. Omair Ahmad; M. N. S. Swamy,both,2018,arXiv preprint / ICECE paper,not reported,not reported,not reported,10.1109/ICECE.2018.8636754,"PDF lists Ahmad and Swamy with Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada.",Ahmad and Swamy are final/senior authors,arXiv author-posted preprint,https://arxiv.org/pdf/1811.00244,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AS2018_VARIATIONAL_MIXED_NOISE.pdf,T2_AS2018_VARIATIONAL_MIXED_NOISE.pdf,c192821d07a94242cdd26932411c1fd0a0b42c0564fc53cee66d99c4a2bcb530,6,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2018_VARIATIONAL_MIXED_NOISE__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2018_VARIATIONAL_MIXED_NOISE__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2018_VARIATIONAL_MIXED_NOISE__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2018_VARIATIONAL_MIXED_NOISE__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2018_VARIATIONAL_MIXED_NOISE__conclusion.txt,image denoising,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Conference preprint; Related Work is integrated into Introduction.,,,true
T2_AS2015_MSAINDELFR,Tier 2,MSAIndelFR: a scheme for multiple protein sequence alignment using information on indel flanking regions,Mufleh Al-Shatnawi; M. Omair Ahmad; M. N. S. Swamy,both,2015,BMC Bioinformatics,16,not reported,Article 393,10.1186/s12859-015-0826-3,"PDF lists Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, Canada.",Ahmad is corresponding author and Swamy is final senior author,publisher-open PDF,https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-015-0826-3,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AS2015_MSAINDELFR.pdf,T2_AS2015_MSAINDELFR.pdf,478fa9e880ff491b26cdc42462f0498d90c8e64fe29dec4c7084bd5dd78ee1cf,11,false,false,false,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2015_MSAINDELFR__abstract.txt,,,,,,,,other,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Expanded date range because many recent IEEE full texts were not lawfully downloadable in the previous pass.,,,true
T2_AS2014_EURASIP_ECHO,Tier 2,Single-channel acoustic echo cancellation in noise based on gradient-based adaptive filtering,Upal Mahbub; Shaikh Anowarul Fattah; Wei-Ping Zhu; M. Omair Ahmad,M. O. Ahmad,2014,EURASIP Journal on Audio Speech and Music Processing,2014,not reported,Article 20,10.1186/1687-4722-2014-20,"PDF lists Wei-Ping Zhu and M. Omair Ahmad with Department of Electrical and Computer Engineering, Concordia University.",Ahmad is final/senior author,publisher-open PDF,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/1687-4722-2014-20,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AS2014_EURASIP_ECHO.pdf,T2_AS2014_EURASIP_ECHO.pdf,c27d7fb084b0e400aba851a9a3c6fb06d64f79bb542f4e7f97692879d4afc63d,16,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2014_EURASIP_ECHO__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2014_EURASIP_ECHO__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2014_EURASIP_ECHO__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2014_EURASIP_ECHO__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2014_EURASIP_ECHO__conclusion.txt,image denoising,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Older than preferred range; included as secondary evidence.,,,true
T2_AS2010_EURASIP_CEPSTRUM,Tier 2,A Ramp Cosine Cepstrum Model for the Parameter Estimation of Autoregressive Systems at Low SNR,Shaikh Anowarul Fattah; Wei-Ping Zhu; M. Omair Ahmad,M. O. Ahmad,2010,EURASIP Journal on Advances in Signal Processing,2010,not reported,Article ID 808312,10.1155/2010/808312,"PDF lists Wei-Ping Zhu and M. Omair Ahmad with Department of Electrical and Computer Engineering, Concordia University.",Ahmad is final/senior author,publisher-open PDF,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1155/2010/808312,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_AS2010_EURASIP_CEPSTRUM.pdf,T2_AS2010_EURASIP_CEPSTRUM.pdf,15c960eb48b19f1c2210873664c24cc71663914d4b76fb4d0b4c3bb19220e680,15,true,false,true,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2010_EURASIP_CEPSTRUM__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_AS2010_EURASIP_CEPSTRUM__integrated_prior_work.txt,,,,,representation learning,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Older than preferred range; included as secondary evidence.,,,true
T2_SW2019_HEARING_AIDS,Tier 2,Sound Quality Improvement for Hearing Aids in Presence of Multiple Inputs,Asutosh Kar; Ankita Anand; Jan Ostergaard; Soren Holdt Jensen; M. N. S. Swamy,M. N. S. Swamy,2019,Circuits Systems and Signal Processing,38,8,3591-3615,10.1007/s00034-019-01104-2,Repository metadata and manuscript identify M. N. S. Swamy; coauthor network includes signal-processing collaborators.,Swamy is final/senior author,accepted author manuscript from institutional repository,https://vbn.aau.dk/ws/files/386019200/Kar_et_al._2019_1_.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_SW2019_HEARING_AIDS.pdf,T2_SW2019_HEARING_AIDS.pdf,2042b48e6aea000d1df1b63bf0ae64c87518f110d08523cf82dac7a0fcab116f,26,true,false,true,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2019_HEARING_AIDS__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2019_HEARING_AIDS__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2019_HEARING_AIDS__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2019_HEARING_AIDS__conclusion.txt,other,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,medium-high,Affiliation is less visible on first page than other PDFs; identity supported by DOI metadata and repository citation.,,,true
T2_SW2015_COSINE_TCHEBICHEF,Tier 2,A Comparison of Integer Cosine and Tchebichef Transforms for Image Compression Using Variable Quantization,Soni Prattipati; M. N. S. Swamy; Pramod K. Meher,M. N. S. Swamy,2015,Journal of Signal and Information Processing,6,3,203-216,10.4236/jsip.2015.63019,"PDF lists M. N. S. Swamy with Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada.",Swamy is recurring supervising coauthor,publisher-open PDF,https://content.scirp.org/pdf/jsip_2015072115320979.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_SW2015_COSINE_TCHEBICHEF.pdf,T2_SW2015_COSINE_TCHEBICHEF.pdf,e23c52d74b34f3db22f9dcf64a8a89428c03d0280dc699145cda88ffae2f915f,14,true,false,false,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2015_COSINE_TCHEBICHEF__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2015_COSINE_TCHEBICHEF__introduction.txt,,,,,,,image compression,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Open journal but not IEEE.,,,true
T2_SW2013_FRONTIERS_SYNAPTIC,Tier 2,Inferring trial-to-trial excitatory and inhibitory synaptic inputs from membrane potential using Gaussian mixture Kalman filtering,M. Lankarany; W.-P. Zhu; M. N. S. Swamy; Taro Toyoizumi,M. N. S. Swamy,2013,Frontiers in Computational Neuroscience,7,not reported,Article 109,10.3389/fncom.2013.00109,"PDF lists M. N. S. Swamy with Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada.",Swamy is senior/recurring Concordia coauthor,publisher-open PDF,https://www.frontiersin.org/articles/10.3389/fncom.2013.00109/pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T2_SW2013_FRONTIERS_SYNAPTIC.pdf,T2_SW2013_FRONTIERS_SYNAPTIC.pdf,e00dbf72b61fd1483d3d2625667282db35a444462e72c528514cdd8f58647afb,17,true,false,false,,papers/supervisor_style_corpus/rebuilt/sections/tier2/T2_SW2013_FRONTIERS_SYNAPTIC__introduction.txt,,,,,,,other,secondary historical style evidence,"style-only, not suitable for citation in Paper_2",Retained from previous verified corpus as Tier 2 secondary historical evidence.,high,Older than preferred range and biomedical-neuroscience context; use cautiously.,,,true
